run,Z,A,kind,rc,err_bytes
Ti44_base,22,44,base,0,0
Ti44_rsig,22,44,rsig,0,0
Ti44_ideal6,22,44,ideal6,0,0
Ti44_ideal7,22,44,ideal7,0,0
Ti44_ideal8,22,44,ideal8,0,0
Ti45_base,22,45,base,0,0
Ti45_rsig,22,45,rsig,0,0
Ti45_ideal6,22,45,ideal6,0,0
Ti45_ideal7,22,45,ideal7,0,0
Ti45_ideal8,22,45,ideal8,0,0
Ti46_base,22,46,base,0,0
Ti46_rsig,22,46,rsig,0,0
Ti46_ideal6,22,46,ideal6,0,0
Ti46_ideal7,22,46,ideal7,0,0
Ti46_ideal8,22,46,ideal8,0,0
Ti47_base,22,47,base,0,0
Ti47_rsig,22,47,rsig,0,0
Ti47_ideal6,22,47,ideal6,0,0
Ti47_ideal7,22,47,ideal7,0,0
Ti47_ideal8,22,47,ideal8,0,0
Ti48_base,22,48,base,0,0
Ti48_rsig,22,48,rsig,0,0
Ti48_ideal6,22,48,ideal6,0,0
Ti48_ideal7,22,48,ideal7,0,0
Ti48_ideal8,22,48,ideal8,0,0
Ti49_base,22,49,base,0,0
Ti49_rsig,22,49,rsig,0,0
Ti49_ideal6,22,49,ideal6,0,0
Ti49_ideal7,22,49,ideal7,0,0
Ti49_ideal8,22,49,ideal8,0,0
Ti50_base,22,50,base,0,0
Ti50_rsig,22,50,rsig,0,0
Ti50_ideal6,22,50,ideal6,0,0
Ti50_ideal7,22,50,ideal7,0,0
Ti50_ideal8,22,50,ideal8,0,0
V51_base,23,51,base,0,0
V51_rsig,23,51,rsig,0,0
V51_ideal6,23,51,ideal6,0,0
V51_ideal7,23,51,ideal7,0,0
V51_ideal8,23,51,ideal8,0,0
Cr50_base,24,50,base,0,0
Cr50_rsig,24,50,rsig,0,0
Cr50_ideal6,24,50,ideal6,0,0
Cr50_ideal7,24,50,ideal7,0,0
Cr50_ideal8,24,50,ideal8,0,0
Cr52_base,24,52,base,0,0
Cr52_rsig,24,52,rsig,0,0
Cr52_r101,24,52,r101,0,0
Cr52_ideal6,24,52,ideal6,0,0
Cr52_ideal7,24,52,ideal7,0,0
Cr52_ideal8,24,52,ideal8,0,0
Cr53_base,24,53,base,0,0
Cr53_rsig,24,53,rsig,0,0
Cr53_ideal6,24,53,ideal6,0,0
Cr53_ideal7,24,53,ideal7,0,0
Cr53_ideal8,24,53,ideal8,0,0
Cr54_base,24,54,base,0,0
Cr54_rsig,24,54,rsig,0,0
Cr54_ideal6,24,54,ideal6,0,0
Cr54_ideal7,24,54,ideal7,0,0
Cr54_ideal8,24,54,ideal8,0,0
Mn50_base,25,50,base,0,0
Mn50_rsig,25,50,rsig,0,0
Mn50_ideal6,25,50,ideal6,0,0
Mn50_ideal7,25,50,ideal7,0,0
Mn50_ideal8,25,50,ideal8,0,0
Mn51_base,25,51,base,0,0
Mn51_rsig,25,51,rsig,0,0
Mn51_ideal6,25,51,ideal6,0,0
Mn51_ideal7,25,51,ideal7,0,0
Mn51_ideal8,25,51,ideal8,0,0
Mn52_base,25,52,base,0,0
Mn52_rsig,25,52,rsig,0,0
Mn52_ideal6,25,52,ideal6,0,0
Mn52_ideal7,25,52,ideal7,0,0
Mn52_ideal8,25,52,ideal8,0,0
Mn53_base,25,53,base,0,0
Mn53_rsig,25,53,rsig,0,0
Mn53_ideal6,25,53,ideal6,0,0
Mn53_ideal7,25,53,ideal7,0,0
Mn53_ideal8,25,53,ideal8,0,0
Mn54_base,25,54,base,0,0
Mn54_rsig,25,54,rsig,0,0
Mn54_ideal6,25,54,ideal6,0,0
Mn54_ideal7,25,54,ideal7,0,0
Mn54_ideal8,25,54,ideal8,0,0
Mn55_base,25,55,base,0,0
Mn55_rsig,25,55,rsig,0,0
Mn55_ideal6,25,55,ideal6,0,0
Mn55_ideal7,25,55,ideal7,0,0
Mn55_ideal8,25,55,ideal8,0,0
Mn56_base,25,56,base,0,0
Mn56_rsig,25,56,rsig,0,0
Mn56_ideal6,25,56,ideal6,0,0
Mn56_ideal7,25,56,ideal7,0,0
Mn56_ideal8,25,56,ideal8,0,0
Fe54_base,26,54,base,0,0
Fe54_rsig,26,54,rsig,0,0
Fe54_ideal6,26,54,ideal6,0,0
Fe54_ideal7,26,54,ideal7,0,0
Fe54_ideal8,26,54,ideal8,0,0
Fe56_base,26,56,base,0,0
Fe56_rsig,26,56,rsig,0,0
Fe56_r101,26,56,r101,0,0
