run,Z,A,kind,state,n,l,s,binding_eV,total_eV
Be7_rsig,4,7,rsig,Q12,7,6,0,-903.998,1.03977e+08
Be7_rsig,4,7,rsig,Q13,7,6,1,-903.995,1.03977e+08
Be7_rsig,4,7,rsig,R14,8,7,0,-692.122,1.03977e+08
Be7_rsig,4,7,rsig,R15,8,7,1,-692.121,1.03977e+08
Be9_base,4,9,base,K1,1,0,1,-44512.8,1.04301e+08
Be9_base,4,9,base,L2,2,1,0,-11121.9,1.04334e+08
Be9_base,4,9,base,L3,2,1,1,-11119.6,1.04334e+08
Be9_base,4,9,base,M4,3,2,0,-4939.86,1.0434e+08
Be9_base,4,9,base,M5,3,2,1,-4939.63,1.0434e+08
Be9_base,4,9,base,N6,4,3,0,-2778.37,1.04342e+08
Be9_base,4,9,base,N7,4,3,1,-2778.32,1.04342e+08
Be9_base,4,9,base,O8,5,4,0,-1778.12,1.04343e+08
