table,printed_page,page_row_ordinal,Z,z_from,target_label,label_from,target_basis,basis_rule,mean_life_ns,mean_life_unc_ns,rate,rate_unc,rate_unc_plus,rate_unc_minus,rate_exp10,rate_unit,rate_parenthesized,huff_factor,huff_from,refs,own_measurement,copy_read
IV,2219,18,28,Table IV p.2219 row 11,natNi,Table IV p.2219 row 18,natural,nat-prefix,158.4,2.5,5.88,0.10,,,0,10^6/s,false,,,73,false,published-scan
IV,2219,19,29,printed,Cu,Table IV p.2219 row 19,unspecified,bare-symbol,160,4,5.79,0.16,,,0,10^6/s,false,0.967,printed,40,false,published-scan
IV,2219,20,29,Table IV p.2219 row 19,Cu,Table IV p.2219 row 19,unspecified,bare-symbol,169,6,5.47,0.20,,,0,10^6/s,false,0.967,Table IV p.2219 row 19,45,false,published-scan
IV,2219,21,29,Table IV p.2219 row 19,Cu,Table IV p.2219 row 19,unspecified,bare-symbol,164.0,2.3,5.66,0.09,,,0,10^6/s,false,0.967,Table IV p.2219 row 19,54,false,published-scan
IV,2219,22,29,Table IV p.2219 row 19,Cu,Table IV p.2219 row 19,unspecified,bare-symbol,163.5,2.4,5.67,0.09,,,0,10^6/s,false,0.967,Table IV p.2219 row 19,49,false,published-scan
IV,2219,23,29,Table IV p.2219 row 19,Cu,Table IV p.2219 row 19,unspecified,bare-symbol,163.5,1.0,5.676,0.037,,,0,10^6/s,false,0.967,Table IV p.2219 row 19,a,true,published-scan
IV,2219,24,29,Table IV p.2219 row 19,63Cu,Table IV p.2219 row 24,isotope,integer-mass-prefix,162.1,1.4,5.72,0.05,,,0,10^6/s,false,,,49,false,published-scan
IV,2219,25,30,printed,Zn,Table IV p.2219 row 25,unspecified,bare-symbol,161,4,5.76,0.17,,,0,10^6/s,false,0.965,printed,40,false,published-scan
IV,2219,26,30,Table IV p.2219 row 25,Zn,Table IV p.2219 row 25,unspecified,bare-symbol,169,4,5.5,0.1,,,0,10^6/s,false,0.965,Table IV p.2219 row 25,43,false,published-scan
IV,2219,27,30,Table IV p.2219 row 25,Zn,Table IV p.2219 row 25,unspecified,bare-symbol,161.2,1.1,5.76,0.05,,,0,10^6/s,false,0.965,Table IV p.2219 row 25,49,false,published-scan
IV,2219,28,30,Table IV p.2219 row 25,Zn,Table IV p.2219 row 25,unspecified,bare-symbol,159.4,1.0,5.834,0.039,,,0,10^6/s,false,0.965,Table IV p.2219 row 25,a,true,published-scan
IV,2219,29,31,printed,Ga,Table IV p.2219 row 29,unspecified,bare-symbol,163.0,1.6,5.70,0.06,,,0,10^6/s,false,0.962,printed,49,false,published-scan
IV,2219,30,32,printed,Ge,Table IV p.2219 row 30,unspecified,bare-symbol,167.4,1.8,5.54,0.06,,,0,10^6/s,false,0.960,printed,49,false,published-scan
IV,2219,31,32,Table IV p.2219 row 30,Ge,Table IV p.2219 row 30,unspecified,bare-symbol,166.5,1.0,5.569,0.036,,,0,10^6/s,false,0.960,Table IV p.2219 row 30,a,true,published-scan
IV,2219,32,33,printed,As,Table IV p.2219 row 32,unspecified,bare-symbol,153.8,1.7,6.07,0.07,,,0,10^6/s,false,0.958,printed,49,false,published-scan
IV,2219,33,33,Table IV p.2219 row 32,As,Table IV p.2219 row 32,unspecified,bare-symbol,153.9,2.4,6.06,0.12,,,0,10^6/s,false,0.958,Table IV p.2219 row 32,54,false,published-scan
IV,2219,34,33,Table IV p.2219 row 32,As,Table IV p.2219 row 32,unspecified,bare-symbol,152.9,1.0,6.104,0.043,,,0,10^6/s,false,0.958,Table IV p.2219 row 32,a,true,published-scan
IV,2219,35,34,printed,Se,Table IV p.2219 row 35,unspecified,bare-symbol,163.0,1.2,5.70,0.05,,,0,10^6/s,false,0.955,printed,49,false,published-scan
